organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Acanthaster planci	133434	PRJDB3175	275725	Animals	Other Animals	383.525	41.5	GCA_001949165.1	NA	BDGH01	3274	NA	NA	2016-12-17	2016-12-17	Scaffold	Okinawa Institute of Science and Technology	SAMD00020546
Castor canadensis	51338	PRJEB19765	384857	Animals	Mammals	4167.12	23.5	GCA_900168385.1	NA	FVZM01	629174	NA	NA	2017-04-29	2017-04-29	Scaffold	OREGON STATE UNIVERSITY	SAMEA101510668
Dermatophagoides farinae	6954	PRJNA174061	174061	Animals	Other Animals	53.5453	31.1	GCA_000767015.1	NA	ASGP01	515	NA	NA	2014-10-15	2014-10-15	Scaffold	The Chinese University of Hong Kong	SAMN02383949
Toxocara canis	6265	PRJEB533	261606	Animals	Roundworms	299.788	40.5	GCA_000951555.1	NA	NA	29185	NA	NA	NA	NA	Scaffold	WTSI	SAMEA1034752
Scleropages formosus	113540	PRJNA290061	290061	Animals	Fishes	746.544	43.9	GCA_001624245.1	NA	LGSE01	14183	NA	NA	2016-04-19	2016-11-08	Scaffold	BGI-SZ	SAMN03894453
Taenia asiatica	60517	PRJEB532	261605	Animals	Flatworms	135.978	43	GCA_000951535.1	NA	NA	24137	NA	NA	NA	NA	Scaffold	WTSI	SAMEA1463525
Eschrichtius robustus	9764	PRJNA391859	391859	Animals	Mammals	2922.98	28.1	GCA_002738545.1	NA	NTJE01	1213011	11153	10894	2017-10-31	2017-10-31	Scaffold	Engelhardt Institute of Molecular Biology, Russian Academy of Sciences	SAMN07276959
Heterocephalus glaber	10181	PRJNA68323	68323	Animals	Mammals	2643.96	40.7	GCA_000230445.1	mitochondrion MT:JN242813.1	AFSB01	39266	21771	21771	2011-10-12	2013-08-14	Scaffold	Beijing Genomics Institute	SAMN00217190
Odocoileus virginianus	9874	PRJNA52611	52611	Animals	Mammals	37.6562	45.2	GCA_000191625.1	NA	AEGZ01	93873	NA	NA	2011-03-07	2014-08-06	Contig	Texas A&M University	SAMN02953782
Drosophila biarmipes	125945	PRJNA318839	318839	Animals	Insects	141.896	42.5	GCA_002222855.1	NA	LYTB01	29235	NA	NA	2017-07-20	2017-07-20	Scaffold	Jaypee Institute of Information Technology	SAMN04851282
Drosophila bipectinata	42026	PRJNA318839	318839	Animals	Insects	120.63	40.9	GCA_002222825.1	NA	LYTD01	39027	NA	NA	2017-07-20	2017-07-20	Scaffold	Jaypee Institute of Information Technology	SAMN04851284
Drosophila takahashii	29030	PRJNA318839	318839	Animals	Insects	124.362	40.2	GCA_002223445.1	NA	LYTE01	50717	NA	NA	2017-07-20	2017-07-20	Scaffold	Jaypee Institute of Information Technology	SAMN04851285
Mustela putorius furo	9669	PRJNA78213	78213	Animals	Mammals	2400.18	41.7	GCA_000239315.1	NA	AGTQ01	4245	NA	NA	2011-12-19	2013-11-06	Scaffold	Broad Institute	SAMN00761641
Latimeria chalumnae	7897	PRJDB500	174410	Animals	Fishes	2736.33	42.1	GCA_000325985.2	NA	BAHO01	37861	NA	NA	2012-09-15	2015-10-23	Scaffold	Tokyo Institute of Technology	SAMD00041835
Sarcophilus harrisii	9305	PRJNA65325	65325	Animals	Mammals	3232.42	37.3	GCA_000219685.1	NA	AFEY01	148774	NA	NA	2011-06-27	2014-08-06	Scaffold	J. Craig Venter Institute	SAMN02953793
Rhipicephalus microplus	6941	PRJNA46685	46685	Animals	Other Animals	144.692	41.6	GCA_000181235.2	NA	ADMZ02	175208	NA	NA	2010-06-23	2014-08-06	Scaffold	USDA-ARS	SAMN02953771
Cricetulus griseus	10029	PRJNA189319	189319	Animals	Mammals	2332.77	42	GCA_000448345.1	NA	APMK01	28749	21779	29144	2013-08-08	2014-08-11	Scaffold	CeBiTec, Bielefeld University	SAMN02981520
Drosophila albomicans	7291	PRJNA268391	268391	Animals	Insects	149.769	36.8	GCA_001014995.1	NA	JXOX01	37034	NA	NA	2015-05-29	2015-05-29	Scaffold	UC Berkeley	SAMN03277213
Lepeophtheirus salmonis	72036	PRJNA40179	40179	Animals	Other Animals	790.052	31	GCA_000181255.2	NA	ADND02	149469	NA	NA	2010-04-02	2014-08-04	Contig	GiLS	SAMN00016741
Ailuropoda melanoleuca	9646	PRJNA299083	299083	Animals	Mammals	2428.26	NA	GCA_002007445.1	NA	LNAT01	57414	NA	NA	2017-02-28	2017-02-28	Scaffold	Institute of Zoology, Chinese Academy of Sciences	SAMN04193337
Onchocerca volvulus	6282	PRJNA37761	37761	Animals	Roundworms	25.9931	32.5	GCA_000180695.1	NA	ADBW01	22675	NA	NA	2010-02-02	2013-11-01	Scaffold	Broad Institute	SAMN00103044
Loa loa	7209	PRJNA246086	246086	Animals	Roundworms	96.4054	30.7991	GCA_000733445.1	mitochondrion MT:JPEI01002250.1	JPEI01	2250	NA	NA	2014-07-25	2014-07-25	Contig	IGS	SAMN02743262
Dicentrarchus labrax	13489	PRJEA39865	39865	Animals	Fishes	98.2281	40.3	GCA_000180815.1	NA	CABK01	36166	NA	NA	2010-01-14	2010-01-14	Contig	European seabass sequencing consortium	SAMEA2272176
Anopheles stephensi	30069	PRJNA191554	191554	Animals	Insects	225.369	45.5	GCA_000349045.1	NA	APCG01	1110	NA	NA	2013-03-25	2016-11-29	Scaffold	Broad Institute	SAMN02953837
Wuchereria bancrofti	6293	PRJEB536	261608	Animals	Roundworms	76.9915	28.8	GCA_000951595.1	NA	NA	13520	NA	NA	NA	NA	Scaffold	WTSI	SAMEA1686771
Nothobranchius furzeri	105023	PRJNA221357	221357	Animals	Fishes	1022.97	42.9	GCA_000878545.1	NA	JNBZ01	46717	NA	NA	2015-02-20	2015-02-20	Scaffold	Stanford University	SAMN02750843
Maylandia zebra	106582	PRJNA29483	29483	Animals	Fishes	79.1683	42.4	GCA_000150915.1	NA	ABPM01	65094	NA	NA	2008-06-21	2014-08-01	Scaffold	Cichlid Genome Consortium	SAMN02743804
Mayetiola destructor	39758	PRJNA268391	268391	Animals	Insects	146.853	30.9	GCA_001014435.1	NA	JXPD01	28220	NA	NA	2015-05-28	2015-05-28	Scaffold	UC Berkeley	SAMN03280977
Gorilla gorilla gorilla	9595	PRJEB10880	314199	Animals	Mammals	3084.6	40.7384	GCA_900006655.3	chromosome 1:LT578324.1; chromosome 2A:LT578338.1; chromosome 2B:LT578339.1; chromosome 3:LT578340.1; chromosome 4:LT578341.1; chromosome 5:LT578342.1; chromosome 6:LT578343.1; chromosome 7:LT578344.1; chromosome 8:LT578345.1; chromosome 9:LT578346.1; chromosome 10:LT578325.1; chromosome 11:LT578326.1; chromosome 12:LT578327.1; chromosome 13:LT578328.1; chromosome 14:LT578329.1; chromosome 15:LT578330.1; chromosome 16:LT578331.1; chromosome 17:LT578332.1; chromosome 18:LT578333.1; chromosome 19:LT578334.1; chromosome 20:LT578335.1; chromosome 21:LT578336.1; chromosome 22:LT578337.1; chromosome X:LT578347.1	CYUI03	15745	NA	NA	2016-03-04	2016-04-16	Chromosome	UNIVERSITY OF WASHINGTON	SAMEA3541598
Varroa destructor	109461	PRJNA33465	33465	Animals	Other Animals	331.927	40.1	GCA_000181155.2	NA	ADDG02	20448	NA	NA	2010-01-11	2017-10-04	Scaffold	Varroa Genome Sequencing Consortium	SAMN03395039
Vicugna pacos huacaya	273913	PRJNA233565	233565	Animals	Mammals	2013.7	41.5	GCA_000767525.1	NA	JEMW01	52275	NA	NA	2014-10-20	2015-02-11	Scaffold	BGI-Shenzhen	SAMN02996813
Macaca fascicularis	9541	PRJEA48347	48347	Animals	Mammals	2878.47	41.2655	GCA_000222185.1	chromosome 1:FR874244.1; chromosome 2:FR874245.1; chromosome 3:FR874246.1; chromosome 4:FR874247.1; chromosome 5:FR874248.1; chromosome 6:FR874249.1; chromosome 7:FR874250.1; chromosome 8:FR874251.1; chromosome 9:FR874252.1; chromosome 10:FR874253.1; chromosome 11:FR874254.1; chromosome 12:FR874255.1; chromosome 13:FR874256.1; chromosome 14:FR874257.1; chromosome 15:FR874258.1; chromosome 16:FR874259.1; chromosome 17:FR874260.1; chromosome 18:FR874261.1; chromosome 19:FR874262.1; chromosome 20:FR874263.1; chromosome X:FR874264.1	CAEC01	21	NA	NA	2011-07-21	2011-07-21	Chromosome	F. Hoffmann-La Roche Ltd	SAMEA2272428
Bubalus bubalis	89462	PRJNA40113	40113	Animals	Mammals	654.914	42.3	GCA_000180995.2	NA	ACZF02	1498523	NA	NA	2012-03-30	2014-09-29	Contig	Anand Agricultural University, Anand, Gujarat, India	SAMN00004269
Ochotona princeps	9978	PRJNA19235	19235	Animals	Mammals	3445.78	46.4	GCA_000164825.1	NA	AAYZ01	187558	NA	NA	2007-07-25	2014-08-21	Scaffold	Broad Institute	SAMN03000703
Tursiops truncatus	9739	PRJNA20367	20367	Animals	Mammals	2551.42	42.1	GCA_000151865.3	NA	ABRN02	240558	NA	NA	2008-09-23	2015-04-20	Scaffold	Baylor College of Medicine	SAMN00000070
Hypsibius dujardini	232323	PRJNA298443	298443	Animals	Other Animals	252.536	46.9	GCA_001455005.1	NA	LMYF01	22496	NA	NA	2015-12-01	2015-12-01	Scaffold	University of Utah	SAMN04120640
Taenia solium	6204	PRJNA183343	183343	Animals	Flatworms	114.436	28.6	GCA_002082475.1	NA	AOMU01	17127	NA	NA	2017-04-10	2017-04-10	Contig	NIAID	SAMN01840458
Oryzias latipes	8090	PRJNA325079	325079	Animals	Fishes	734.04	40.8431	GCA_002234675.1	chromosome 1:CP020665.1; chromosome 2:CP020666.1; chromosome 3:CP020667.1; chromosome 4:CP020668.1; chromosome 5:CP020669.1; chromosome 6:CP020670.1; chromosome 7:CP020671.1; chromosome 8:CP020672.1; chromosome 9:CP020673.1; chromosome 10:CP020674.1; chromosome 11:CP020675.1; chromosome 12:CP020676.1; chromosome 13:CP020677.1; chromosome 14:CP020678.1; chromosome 15:CP020679.1; chromosome 16:CP020680.1; chromosome 17:CP020681.1; chromosome 18:CP020682.1; chromosome 19:CP020683.1; chromosome 20:CP020684.1; chromosome 21:CP020685.1; chromosome 22:CP020686.1; chromosome 23:CP020687.1; chromosome 24:CP020688.1	NA	24	NA	NA	2017-07-27	2017-07-27	Chromosome	The University of Tokyo	SAMN06689957
Ictidomys tridecemlineatus	43179	PRJNA13937	13937	Animals	Mammals	1913.37	39.7	GCA_000181315.1	NA	AAQQ01	797481	NA	NA	2006-06-06	2014-08-21	Contig	The Genome Sequencing Platform, The Genome Assembly Team	SAMN03000702
Callithrix jacchus	9483	PRJNA246742	246742	Animals	Mammals	1504.61	39.3	GCA_000832365.1	NA	JRUL01	1992178	NA	NA	2015-01-29	2015-01-29	Contig	UN-NHPGC	SAMN02770241
Oikopleura dioica	34765	PRJEA42427	42427	Animals	Other Animals	45.1412	40.3	GCA_000209555.1	NA	CABW01	4196	13526	13505	2010-12-01	2010-12-01	Scaffold	Genoscope - Institut de Genomique - CEA	SAMEA2272403
Taeniopygia guttata	59729	PRJNA368994	368994	Animals	Birds	1142.97	42.2	GCA_002008985.2	NA	MUGN01	1327	NA	NA	2017-02-28	2017-02-28	Contig	Pacific Biosciences	SAMN02981239
Ascaris suum	6253	PRJNA80881	80881	Animals	Roundworms	269.56	38.2	GCA_000298755.1	NA	AMPH01	12988	NA	NA	2012-09-18	2013-11-01	Scaffold	Beijing Genomics Institute	SAMN00769978
Pongo abelii	9601	PRJNA18245	18245	Animals	Mammals	2.35168	41.3	GCA_000167535.2	NA	AAGM01	3773	NA	NA	2006-11-09	2014-08-11	Contig	Fritz Lipmann Institute (former Institute of Molecular Biotechnology, IMB)	SAMN02981221
Daphnia pulex	6669	PRJEB14656	341654	Animals	Other Animals	156.418	37.1	GCA_900092285.1	NA	FLTH01	1822	NA	NA	2016-09-02	2016-09-02	Scaffold	INDIANA UNIVERSITY BLOOMINGTON	SAMEA4059181
Meloidogyne incognita	6306	PRJEA28837	28837	Animals	Roundworms	82.095	31.4	GCA_000180415.1	NA	CABB01	9538	NA	NA	2008-09-09	2008-09-09	Contig	Genoscope - CEA	SAMEA2272339
Drosophila sechellia	7238	PRJNA205470	205470	Animals	Insects	1.61407	47.2	GCA_000525085.1	NA	JAQR01	2565	NA	NA	2014-01-31	2014-05-02	Scaffold	Carnegie Mellon University	SAMN02179240
Drosophila virilis	7244	PRJNA41283	41283	Animals	Insects	1.25535	37.3	GCA_000004125.1	chromosome 6:CM000831.1	NA	1	81	81	2009-11-06	2012-12-18	Chromosome	Washington University, Department of Biology	NA
Caenorhabditis remanei	31234	PRJNA248909	248909	Animals	Roundworms	118.549	35.9	GCA_001643735.1	NA	LFJK01	1591	NA	NA	2016-05-13	2016-05-13	Scaffold	University of Oregon	SAMN02803904
Erinaceus europaeus	9365	PRJNA12576	12576	Animals	Mammals	2133.12	41.5	GCA_000181395.1	NA	AANN01	847680	NA	NA	2006-02-17	2014-08-26	Contig	Broad Institute	SAMN03004380
Schmidtea mediterranea	79327	PRJNA183841	183841	Animals	Flatworms	779.48	33.7	GCA_000572305.1	NA	AUVC01	15046	NA	NA	2014-02-18	2014-05-16	Scaffold	Schmidtea mediterranea genome	SAMN02182864
Trichinella spiralis	6334	PRJNA257433	257433	Animals	Roundworms	50.026	33.7	GCA_001447595.1	NA	JYDH01	7652	14737	19244	2015-11-24	2016-03-08	Scaffold	University of Melbourne	SAMN02949466
Fasciola hepatica	6192	PRJEB6687	263667	Animals	Flatworms	1182.4	44.1	GCA_000824725.1	NA	CDMT01	201608	NA	NA	2015-01-14	2015-01-29	Scaffold	LIV	SAMEA2629804
Drosophila pseudoobscura pseudoobscura	46245	PRJNA13195	13195	Animals	Insects	164.366	45.3	GCA_000149495.1	NA	AAFS01	2664	NA	NA	2004-11-19	2014-08-06	Scaffold	TIGR	SAMN02953612
Macaca mulatta	9544	PRJNA12537	12537	Animals	Mammals	3097.39	38.0269	GCA_000002255.2	chromosome 1:CM000308.1; chromosome 2:CM000288.1; chromosome 3:CM000289.1; chromosome 4:CM000290.1; chromosome 5:CM000291.1; chromosome 6:CM000292.1; chromosome 7:CM000293.1; chromosome 8:CM000294.1; chromosome 9:CM000295.1; chromosome 10:CM000296.1; chromosome 11:CM000297.1; chromosome 12:CM000298.1; chromosome 13:CM000299.1; chromosome 14:CM000300.1; chromosome 15:CM000301.1; chromosome 16:CM000302.1; chromosome 17:CM000303.1; chromosome 18:CM000304.1; chromosome 19:CM000305.1; chromosome 20:CM000306.1; chromosome X:CM000307.1	AANU01	124036	NA	NA	2006-02-08	2015-03-23	Chromosome	Macaca mulatta Genome Sequencing Consortium	SAMN02981228
Pan troglodytes	9598	PRJNA13184	13184	Animals	Mammals	2733.95	40.7	GCA_000325845.1	NA	AADA01	361864	NA	NA	2003-12-05	2014-08-11	Contig	Chimpanzee Sequencing and Analysis Consortium	SAMN02981217
Drosophila simulans	7240	PRJNA12464	12464	Animals	Insects	141.126	43.0472	GCA_000259045.1	chromosome 2L:CM000163.1; chromosome 2R:CM000164.1; chromosome 3L:CM000165.1; chromosome 3R:CM000166.1; chromosome 4:CM000167.1; chromosome X:CM000168.1	AAGH01	11605	NA	NA	2005-03-23	2014-08-06	Chromosome	The Drosophila simulans Sequencing Consortium	SAMN02953618
Oreochromis niloticus	8128	PRJNA59571	59571	Animals	Fishes	927.696	39.0824	GCA_000188235.2	linkage group LG1:CM001444.1; linkage group LG2:CM001445.1; linkage group LG4:CM001447.1; linkage group LG5:CM001448.1; linkage group LG6:CM001449.1; linkage group LG7:CM001450.1; linkage group LG9:CM001452.1; linkage group LG10:CM001453.1; linkage group LG11:CM001454.1; linkage group LG12:CM001455.1; linkage group LG13:CM001456.1; linkage group LG14:CM001457.1; linkage group LG15:CM001458.1; linkage group LG17:CM001460.1; linkage group LG18:CM001461.1; linkage group LG19:CM001462.1; linkage group LG20:CM001463.1; linkage group LG22:CM001464.1; linkage group LG23:CM001465.1; linkage group LG16-21:CM001459.1; linkage group LG3:CM001446.1; linkage group LG8-24:CM001451.1	AERX01	5910	NA	NA	2011-01-28	2015-04-28	Chromosome	Broad Institute	SAMN00117560
Oncorhynchus mykiss	8022	PRJEB4421	245304	Animals	Fishes	1877.56	43.9941	GCA_900005705.1	chromosome 1:HG973520.1; chromosome 2:HG973521.1; chromosome 3:HG973522.1; chromosome 4:HG973523.1; chromosome 5:HG973524.1; chromosome 6:HG973525.1; chromosome 7:HG973526.1; chromosome 8:HG973527.1; chromosome 9:HG973528.1; chromosome 10:HG973529.1; chromosome 11:HG973530.1; chromosome 12:HG973531.1; chromosome 13:HG973532.1; chromosome 14:HG973533.1; chromosome 15:HG973534.1; chromosome 16:HG973535.1; chromosome 17:HG973536.1; chromosome 18:HG973537.1; chromosome 19:HG973538.1; chromosome 20:HG973539.1; chromosome 22:HG973540.1; chromosome 23:HG973541.1; chromosome 24:HG973542.1; chromosome 26:HG973543.1; chromosome 27:HG973544.1; chromosome 28:HG973545.1; chromosome 29:HG973546.1; chromosome Sex:HG973547.1	CCAF01	79942	46585	46585	2014-04-24	2015-01-30	Chromosome	Genoscope CEA	SAMEA3146328
Equus caballus	9796	PRJNA200654	200654	Animals	Mammals	2377.51	41.3	GCA_000696655.1	NA	ATDM01	119776	NA	NA	2014-05-30	2014-06-06	Scaffold	College of Animal Science, Inner Mongolian Agricultural University, China	SAMN02808397
Falco peregrinus	8954	PRJNA347893	347893	Animals	Birds	1112.06	41.6016	GCA_001887755.1	chromosome 1:CM007505.1; chromosome 2:CM007506.1; chromosome 3:CM007507.1; chromosome 4:CM007508.1; chromosome 5:CM007509.1; chromosome 6:CM007510.1; chromosome 7:CM007511.1; chromosome 8:CM007512.1; chromosome 9:CM007513.1; chromosome 10:CM007514.1; chromosome 11:CM007515.1; chromosome 12:CM007516.1; chromosome 13:CM007517.1; chromosome 14:CM007518.1; chromosome 15:CM007519.1; chromosome 16:CM007520.1; chromosome 17:CM007521.1; chromosome 18:CM007522.1; chromosome Z:CM007504.1	MLQY01	72	NA	NA	2016-11-29	2016-12-02	Chromosome	Royal Veterinary College	SAMN02981425
Coturnix japonica	93934	PRJDB1146	231365	Animals	Birds	898.142	NA	GCA_000511605.2	NA	BASJ02	9499	NA	NA	2013-07-09	2016-06-29	Scaffold	Tokyo University of Agriculture	SAMD00009971
Canis lupus familiaris	9615	PRJNA10628	10628	Animals	Mammals	1517.48	41.1	GCA_000181415.1	NA	AACN01	1089636	NA	NA	2003-09-27	2014-08-26	Contig	TIGR	SAMN03004377
Felis catus	9685	PRJNA16726	16726	Animals	Mammals	2641.34	42.0311	GCA_000181335.3	chromosome A1:NC_018723.2/CM001378.2; chromosome A2:NC_018724.2/CM001379.2; chromosome A3:NC_018725.2/CM001380.2; chromosome B1:NC_018726.2/CM001381.2; chromosome B2:NC_018727.2/CM001382.2; chromosome B3:NC_018728.2/CM001383.2; chromosome B4:NC_018729.2/CM001384.2; chromosome C1:NC_018730.2/CM001385.2; chromosome C2:NC_018731.2/CM001386.2; chromosome D1:NC_018732.2/CM001387.2; chromosome D2:NC_018733.2/CM001388.2; chromosome D3:NC_018734.2/CM001389.2; chromosome D4:NC_018735.2/CM001390.2; chromosome E1:NC_018736.2/CM001391.2; chromosome E2:NC_018737.2/CM001392.2; chromosome E3:NC_018738.2/CM001393.2; chromosome F1:NC_018739.2/CM001394.2; chromosome F2:NC_018740.2/CM001395.2; chromosome X:NC_018741.2/CM001396.2; mitochondrion MT:NC_001700.1/U20753.1	AANG03	267928	34949	53033	2006-04-27	2016-12-31	Chromosome	International Cat Genome Sequencing Consortium	SAMN02953640
Ovis aries	9940	PRJNA33937	33937	Animals	Mammals	2860.5	46.3194	GCA_000005525.1	chromosome 1:CM000885.1; chromosome 2:CM000886.1; chromosome 3:CM000887.1; chromosome 4:CM000888.1; chromosome 5:CM000889.1; chromosome 6:CM000890.1; chromosome 7:CM000891.1; chromosome 8:CM000892.1; chromosome 9:CM000893.1; chromosome 10:CM000894.1; chromosome 11:CM000895.1; chromosome 12:CM000896.1; chromosome 13:CM000897.1; chromosome 14:CM000898.1; chromosome 15:CM000899.1; chromosome 16:CM000900.1; chromosome 17:CM000901.1; chromosome 18:CM000902.1; chromosome 19:CM000903.1; chromosome 20:CM000904.1; chromosome 21:CM000905.1; chromosome 22:CM000906.1; chromosome 23:CM000907.1; chromosome 24:CM000908.1; chromosome 25:CM000909.1; chromosome 26:CM000910.1; chromosome X:CM000911.1	ACIV01	1331	NA	NA	2010-02-09	2014-08-26	Chromosome	International Sheep Genomics Consortium	SAMN03004385
Sus scrofa	9823	PRJNA291011	291011	Animals	Mammals	2611.36	43.1	GCA_001292865.1	NA	LIDP01	5206	NA	NA	2015-09-16	2015-09-16	Scaffold	F. Hoffmann - La Roche AG	SAMN03938573
Bos taurus	9913	PRJNA12555	12555	Animals	Mammals	2724.98	41.8685	GCA_000003205.6	chromosome 1:NC_007299.6/CM000177.6; chromosome 2:NC_007300.6/CM000178.7; chromosome 3:NC_007301.6/CM000179.6; chromosome 4:NC_007302.6/CM000180.6; chromosome 5:NC_007303.6/CM000181.7; chromosome 6:NC_007304.6/CM000182.7; chromosome 7:NC_007305.6/CM000183.7; chromosome 8:NC_007306.6/CM000184.6; chromosome 9:NC_007307.6/CM000185.7; chromosome 10:NC_007308.6/CM000186.6; chromosome 11:NC_007309.6/CM000187.6; chromosome 12:NC_007310.6/CM000188.7; chromosome 13:NC_007311.6/CM000189.7; chromosome 14:NC_007312.6/CM000190.6; chromosome 15:NC_007313.6/CM000191.7; chromosome 16:NC_007314.5/CM000192.5; chromosome 17:NC_007315.6/CM000193.6; chromosome 18:NC_007316.6/CM000194.7; chromosome 19:NC_007317.6/CM000195.6; chromosome 20:NC_007318.6/CM000196.6; chromosome 21:NC_007319.6/CM000197.6; chromosome 22:NC_007320.6/CM000198.6; chromosome 23:NC_007324.6/CM000199.8; chromosome 24:NC_007325.6/CM000200.7; chromosome 25:NC_007326.6/CM000201.6; chromosome 26:NC_007327.6/CM000202.7; chromosome 27:NC_007328.5/CM000203.6; chromosome 28:NC_007329.6/CM000204.6; chromosome 29:NC_007330.6/CM000205.6; chromosome X:NC_007331.5/CM000206.6; chromosome Y:NC_016145.1/CM001061.2	AAFC05	5998	32776	28999	2004-10-01	2015-11-19	Chromosome	Cattle Genome Sequencing International Consortium	SAMN02898106
Bombyx mori	7091	PRJNA13125	13125	Animals	Insects	397.687	37.8	GCA_000151715.1	NA	AADK01	23156	NA	NA	2004-10-12	2014-08-05	Scaffold	Southwest Agricultural University, China	SAMN02952907
Rattus norvegicus	10116	PRJNA13999	13999	Animals	Mammals	2616.42	42.3564	GCF_000002265.2	chromosome 1:AC_000069.1/CM000231.2; chromosome 2:AC_000070.1/CM000232.2; chromosome 3:AC_000071.1/CM000233.2; chromosome 4:AC_000072.1/CM000234.2; chromosome 5:AC_000073.1/CM000235.2; chromosome 6:AC_000074.1/CM000236.2; chromosome 7:AC_000075.1/CM000237.2; chromosome 8:AC_000076.1/CM000238.2; chromosome 9:AC_000077.1/CM000239.2; chromosome 10:AC_000078.1/CM000240.1; chromosome 11:AC_000079.1/CM000241.2; chromosome 12:AC_000080.1/CM000242.1; chromosome 13:AC_000081.1/CM000243.2; chromosome 14:AC_000082.1/; chromosome 15:AC_000083.1/CM000245.1; chromosome 16:AC_000084.1/CM000246.2; chromosome 17:AC_000085.1/CM000247.2; chromosome 18:AC_000086.1/CM000248.2; chromosome 19:AC_000087.1/CM000249.2; chromosome 20:AC_000088.1/CM000250.2; chromosome X:AC_000089.1/CM000251.2	AAHX01	7271	36373	28074	2005-07-08	2014-08-21	Chromosome	Celera Genomics	SAMN03000701
Glossina morsitans	7394	PRJNA268391	268391	Animals	Insects	348.063	32.8	GCA_001014515.1	NA	JXPS01	32924	NA	NA	2015-05-28	2015-05-28	Scaffold	UC Berkeley	SAMN03283231
Mus musculus	10090	PRJNA11785	11785	Animals	Mammals	3251.25	41.8304	GCA_000002165.1	chromosome 1:CM000209.2; chromosome 2:CM000210.1; chromosome 3:CM000211.2; chromosome 4:CM000212.2; chromosome 5:CM000213.2; chromosome 6:CM000214.2; chromosome 7:CM000215.2; chromosome 8:CM000216.2; chromosome 9:CM000217.2; chromosome 10:CM000218.2; chromosome 11:CM000219.2; chromosome 12:CM000220.2; chromosome 13:CM000221.2; chromosome 14:CM000222.2; chromosome 15:CM000223.2; chromosome 16:CM000224.2; chromosome 17:CM000225.2; chromosome 18:CM000226.2; chromosome 19:CM000227.1; chromosome X:CM000228.2; chromosome Y:CM000229.1	AAHY01	668539	31682	45437	2005-07-07	2014-08-26	Chromosome	Celera Genomics	SAMN03004379
Homo sapiens	9606	PRJNA1431	1431	Animals	Mammals	2863.65	41.1991	GCA_000002115.2	chromosome 1:CH003448.1; chromosome 2:CH003449.1; chromosome 3:CH003450.1; chromosome 4:CH003451.1; chromosome 5:CH003452.1; chromosome 6:CH003453.1; chromosome 7:CH003454.1; chromosome 8:CH003455.1; chromosome 9:CH003456.1; chromosome 10:CH003457.1; chromosome 11:CH003458.1; chromosome 12:CH003459.1; chromosome 13:CH003460.1; chromosome 14:CH003461.1; chromosome 15:CH003462.1; chromosome 16:CH003463.1; chromosome 17:CH003464.1; chromosome 18:CH003465.1; chromosome 19:CH003466.1; chromosome 20:CH003467.1; chromosome 21:CH003468.1; chromosome 22:CH003469.1; chromosome X:CH003470.1; chromosome Y:CH003471.1	AADD01	4940	NA	NA	2004-02-03	2014-08-11	Chromosome	Celera Genomics	SAMN02981219
Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1411.76	36.9	GCA_000767325.1	NA	CABZ01	32031	NA	NA	2010-05-21	2014-09-24	Scaffold	Genome Reference Consortium	SAMEA3146315
Apis mellifera intermissa	346610	PRJNA230767	230767	Animals	Insects	243.567	31.9	GCA_000819425.1	NA	JSUV01	522763	NA	NA	2015-01-15	2015-12-02	Scaffold	Bee Research Department : National Center for Agricultural Research and Extension	SAMN02437452
Ciona intestinalis	7719	PRJNA166	166	Animals	Other Animals	116.733	36.1	GCA_000183065.1	NA	AABS01	2501	NA	NA	2002-12-12	2014-08-01	Contig	DOE Joint Genome Institute	SAMN02769623
Drosophila melanogaster	7227	PRJNA380132	380132	Animals	Insects	144.125	41.878	GCA_002300595.1	chromosome X:CM008268.1; chromosome 2L:CM008269.1; chromosome 2R:CM008270.1; chromosome 3L:CM008271.1; chromosome 3R:CM008272.1; chromosome 4:CM008273.1; mitochondrion MT:CM008274.1	NDWT01	160	NA	NA	2017-09-13	2017-09-15	Chromosome	University of California, Irvine	SAMN06628317
Aedes albopictus	7160	PRJNA270274	270274	Animals	Insects	1923.48	40.7	GCA_001444175.2	NA	JXUM01	154782	17146	17146	2015-09-29	2016-02-23	Scaffold	BGI	SAMN03265380
Aedes aegypti	7159	PRJNA12434	12434	Animals	Insects	1383.97	38.7998	GCA_000004015.3	mitochondrion MT:EU352212.1	AAGE02	4757	17236	17400	2005-02-11	2014-08-06	Scaffold	TIGR	SAMN02953616
Anopheles gambiae	7165	PRJNA20301	20301	Animals	Insects	236.403	44.5	GCA_000150785.1	NA	ABKQ02	13042	NA	NA	2008-02-22	2014-08-06	Scaffold	J. Craig Venter Institute	SAMN02953722
Caenorhabditis elegans	6239	PRJNA275000	275000	Animals	Roundworms	98.3028	35.4305	GCA_000975215.1	chromosome I:CM003206.1; chromosome II:CM003207.1; chromosome III:CM003208.1; chromosome IV:CM003209.1; chromosome V:CM003210.1; chromosome X:CM003211.1; mitochondrion MT:CM003212.1	JZEW01	16	NA	NA	2015-04-21	2015-04-21	Chromosome	University of Washington	SAMN03334911
